Decentralized Autonomous Organization (DAO),"A Digital Decentralized Autonomous Organization (DAO, pronounced like the Chinese concept) is a powerful and very flexible organizational structure built on a blockchain. Alternatively, the first known example of a DAO is referred to as The DAO. The DAO served as a form of investor-directed venture capital fund, which sought to provide enterprises with new decentralized business models. Ethereum-based, The DAO’s code was open source. The organization set the record for the most crowdfunded project in 2016. Those funds were partially stolen by hackers. The hack caused an Ethereum hard-fork which lead to the creation of Ethereum Classic.",,,Blockchain term,去中心化自治组织（DAO）,Organisation autonome décentralisée,Dezentralisierte autonome Organisation (DAO),Organisasi Otonom Terdesentralisasi (DAO),Organizzazione autonoma decentralizzata (DAO),탈중앙화 자율조직(DAO),سازمان خودگردان غیرمتمرکز (دائو),Organização autônoma descentralizada (DAO),Децентрализованная автономная организация (ДАО),organización autónoma descentralizada (DAO),Decentralized Autonomous Organization (DAO),องค์กรอัตโนมัติแบบกระจายศูนย์ (DAO),Merkezi Olmayan Otonom Organizasyon (DAO),Tổ chức tự trị phi tập trung (DAO),منظمة مستقلة لامركزية (DAO),去中心化自治組織,decentrale autonome organisatie (DAO),Αποκεντρωμένος αυτόνομος οργανισμός (DAO),डीसेंट्रलाइज्ड ऑटोनोमस ऑर्गेनाईज़ेशन (DAO),decentralizált autonóm szervezet (DAO),分散型自律組織 (DAO),Zdecentralizowana autonomiczna organizacja (DAO),Децентралізована автономна організація (DAO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentralized exchange (DEX),"A decentralized exchange (DEX) is a platform for exchanging cryptocurrencies based on functionality programmed on the blockchain (i.e., in smart contracts). The trading is peer-to-peer, or between pools of liquidity. This is in contrast with a centralized exchange, which is more akin to a bank or investment firm that specializes in cryptocurrencies. Additionally, there are so-called on-ramp providers, who could be compared to currency brokers, exchanging traditional “fiat” money for cryptocurrencies, and do not hold customer’s funds “on deposit” the way a centralized exchange does. There are important technical and regulatory differences between these, which are constantly evolving.",,,Ecosystem term,去中心化交易所（DEX）,Échange décentralisé (DEX),Dezentralisierte Börse (DEX),bursa terdesentralisasi (DEX),exchange decentralizzato (DEX),탈중앙화 거래소(DEX),صرافی غیرمتمرکز (دکس),corretora descentralizada (DEX),децентрализованная биржа (DEX),intercambio descentralizado (DEX),decentralized exchange (DEX),ตลาดแลกเปลี่ยนแบบกระจายศูนย์ (DEX),merkeziyetsiz borsa (DEX),sàn giao dịch phi tập trung (DEX),بورصة لامركزية (DEX),去中心化交易所,decentrale exchange (DEX),αποκεντρωμένη ανταλλαγή (DEX),डीसेंट्रलाइज्ड एक्सचेंज (DEX),decentralizált tőzsde (DEX),分散型取引所 (DEX),Giełda zdecentralizowana (DEX),децентралізована біржа (DEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentralized finance,"If cryptocurrency is web3’s monetary system, its financial system is DeFi. This includes familiar concepts like loans and interest-bearing financial instruments, as well as so-called “DeFi primitives”, novel solutions like token swapping and liquidity pools.",,,Blockchain term,去中心化金融,finance décentralisée,Dezentralisierte Finanzen,keuangan terdesentralisasi,finanza decentralizzata,탈중앙화 금융,امور مالی غیرمتمرکز,finanças descentralizadas,децентрализованные финансы,finanzas descentralizadas,decentralized finance,การเงินกระจายศูนย์,merkeziyetsiz finans,tài chính phi tập trung,التمويل اللامركزي,去中心化金融,decentralized finance/DeFi,αποκεντρωμένη χρηματοοικονομική,decentralized finance,decentralizált finanszírozás,分散型金融,DeFi (zdecentralizowane finanse),децентралізовані фінанси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentralized web,"The decentralized web, also known as web3, is a concept that refers to a new type of internet architecture that aims to provide a more open, secure, and privacy-preserving internet experience by removing the need for centralized intermediaries and giving users more control over their data.

In contrast to the current centralized web, where most online activities are controlled by a few large corporations and their servers, the decentralized web relies on a network of distributed nodes and peer-to-peer protocols to store and transmit data. This means that there is no central authority controlling the internet, and users can interact directly with each other without the need for intermediaries.",,,Blockchain term,去中心化网络,web décentralisé,Dezentralisiertes Web,web terdesentralisasi,web decentralizzato,탈중앙화 웹,وب غیرمتمرکز,web descentralizada,децентрализованная сеть,web descentralizada,desentralisadong web,เว็บกระจายศูนย์,merkeziyetsiz web,trang web phi tập trung,الويب اللامركزي,Web3去中心化的虛擬生態系,decentraal web,αποκεντρωμένος ιστός,डीसेंट्रलाइज्ड वेब,decentralizált web,分散型 Web,Zdecentralizowana sieć Web,децентралізована мережа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deposit,"In most web3 contexts, 'depositing' refers to the act of transferring some amount of token(s) to an address other than one's own, most often to a smart contract controlled by a 'protocol', such as a decentralized exchange, video game or multiverse, DAO, etc. Generally, the user will receive something in return for their deposit, and the deposit can be claimed at the user's discretion, or upon completion of given conditions. Compare with 'stake'.",,,Blockchain term,保证金,dépôt,Einzahlung,deposit,deposito,예치,واریز,depositar,депозит,,deposito,ฝาก,para yatırma,gửi tiền,الإيداع,充值,storten,κατάθεση,डिपॉज़िट,letét,デポジット,Depozyt,депозит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derive / derivation,"To derive something is to obtain it from an original source. In the context of crypto-technology, we often discuss ""deriving"" wallets and accounts from seed phrases (aka Secret Recovery Phrases, or SRPs). This is literally true: the SRP represents a cryptographic key which is used to derive account addresses deterministically, meaning they will be derived the same way each time. Another, more technical, way of referring to this technology is to refer to ""hierarchical deterministic"" wallets.",,,Ecosystem term,派生,dériver / dérivation,Ableiten / Ableitung,berasal / turunan,deriva / derivazione,파생 / 파생,مشتق شدن/اشتقاق,derivar / derivação,сделать вывод / вывод/извлекать/выводить/производное от,derivar / derivación,nagmula / pinagmulan,ได้มาจาก / อนุพัทธ์,türev / türetme,phái sinh/phái sinh,يشتقّ / اشتقاق,金融衍生品,afleiden/afleiding,παραγωγή / προέλευση,डीराइव / डेरिवेशन,származtatni/származtatás,導き出す / 導出,Uzyskiwanie,Вивести/деривація,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dev,Abbreviation of developer.,,,Ecosystem term,开发者,dev.,Entwickler,dev,dev,개발자,توسعه دهنده,dev,разраб/дев,desarrollador,dev,นักพัฒนา,geliştirici,nhà lập trình,مُطورّ,開發者,ontwikkelaar,Προγραμματιστής,dev,dev,Dev,Dev,розробник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devcon,This is shorthand for the Ethereum Developers’ Conference.,,,Software term,Ethereum 开发者会议,DevCon,Devcon,Devcon,Devcon,Ethereum 개발 컨퍼런스,کنفرانس توسعه‌دهندگان اتریوم,Devcon,Конференция разработчиков,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon 區塊鏈媒體,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developer,"A person that creates new products, especially computer products such as software.",,,Ecosystem term,开发者,Développeur,Entwickler,Pengembang,Sviluppatore,개발자,توسعه دهنده,Desenvolvedor,Разработчик,desarrollador,Developer,นักพัฒนา,Geliştirici,Nhà lập trình,مُطورّ,開發者,ontwikkelaar,Προγραμματιστής,Developer,fejlesztő,開発者,Twórca oprogramowania,Розробник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEX,"Acronym; see ""decentralized exchange"".",,,Software term,DEX（去中心化交易所）,DEX,DEX,DEX,DEX,DEX,دکس,DEX,DEX,DEX,DEX,DEX,DEX,DEX,بورصة لامركزية (DEX),去中心化交易所,DEX,DEX (αποκεντρωμένη ανταλλαγή),DEX,DEX,DEX,DEX,DEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
difficulty,"The concept outlining how hard it is to verify blocks in a blockchain network during Proof of Work mining. In the Bitcoin network, the difficulty of mining adjusts every 2016 blocks. This is to keep block verification time at ten minutes.",,,Blockchain term,难度,difficulté,Schwierigkeit,kesulitan,difficoltà,난이도,سختی,dificuldade,сложность,dificultad,kahirapan,ความยากในการขุด,zorluk,độ khó,صعوبة التعدين,難度值,difficulty/moeilijkheid,δυσκολία,डिफीकल्टी,nehézség,採掘難易度,Trudność,складність,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
difficulty bomb,"The difficulty bomb, along with the Beacon Chain and others, was a key element of Ethereum's upgrade to Ethereum 2.0 and a Proof of Stake (PoS) consensus mechanism. As the name indicates, the difficulty bomb was a software mechanism that increased block verification difficulty, making it more expensive and difficult--eventually, prohibitively so--to mine a new block. Through economic incentive, and later, the raw limitations of computing power, this forced the shift to PoS consensus. See also 'Proof of Stake', 'the Merge'.",,,Blockchain term,难度炸弹,bombe de difficulté,Schwierigkeitsbombe,difficulty bomb,difficulty bomb,난이도 폭탄,بمب سختی,bomba de dificuldade,бомба сложности,bomba de dificultad,bomba ng kahirapan,ปรับความยากจนขุดไม่ได้,zorluk bombası,bom độ khó,انفجار الصعوبة,難度炸彈,difficulty bomb,βόμβα δυσκολίας,डिफीकल्टी बॉम्ब,nehézségi bomba,ディフィカルティボム,Bomba trudności,бомба складності,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital asset,"A digital commodity that is scarce, electronically transferable, and intangible with a market value.",,,Blockchain term,数字资产,Actif numérique,Digitales Asset,aset digital,asset digitale,디지털 자산,دارایی دیجیتال,ativo digital,цифровой актив,activo digital,digital na asset,สินทรัพย์ดิจิทัล,dijital varlık,tài sản kỹ thuật số,أصل رقمي,區塊鏈數字資產,digitale asset,ψηφιακά διαθέσιμα στοιχεία,डिजिटल एसेट,digitális eszköz,デジタル資産,Aktywa cyfrowe,цифровий актив,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital identity,"An online or networked identity adopted by an individual, organization, or electronic device.",,,Ecosystem term,数字身份,identité numérique,Digitale Identität,identitas digital,identità digitale,디지털 신원,هویت دیجیتال,identidade digital,цифровая личность/цифровая идентификация/цифровой профиль,identidad digital,digital na pagkakakilanlan,อัตลักษณ์ดิจิทัล,dijital kimlik,nhận dạng kỹ thuật số,هوية رقمية,數位身份,digitale identiteit,ηλεκτρονική ταυτότητα,डिजिटल आइडेंटिटी,digitális identitás,デジタルアイデンティティ,Tożsamość cyfrowa,цифрова ідентичність,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital signature,"A short string of data a user produces for a document using a private key such that anyone with the corresponding public key, the signature, and the document can verify that (1) the document was ""signed"" by the owner of that particular private key, and (2) the document was not changed after it was signed.",,,Ecosystem term,电子签名,Signature numérique,Digitale Signatur,Tanda tangan digital,Firma digitale,전자 서명,امضای دیجیتال,Assinatura digital,Цифровая подпись,firma digital,Digital na lagda,ลายเซ็นดิจิทัล,Dijital imza,Chữ ký số,توقيع رقمي,數位簽章,digitale handtekening,Ηλεκτρονική υπογραφή,डिजिटल सिग्नेचर,digitális aláírás,デジタル署名,Podpis cyfrowy,Цифровий підпис,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributed Denial of Service (DDoS) Attack,A type of cyber-attack in which the perpetrator continuously overwhelms the system with requests in order to prevent service of legitimate requests.,,,Ecosystem term,分布式拒绝服务攻击（DDoS）,Attaque par déni de service (DDoS),Distributed Denial of Service (DDoS) Angriff,Serangan Distributed Denial of Service (DDoS),Attacco Distributed Denial of Service (DDoS),분산 서비스 거부(DDoS) 공격,حمله محروم‌سازی از سرویس (دیداس),Ataque de negação de serviço distribuído (DDoS),Распределенная атака типа «отказ в обслуживании» (DDoS),ataque distribuido de denegación de servicio (DDoS),Distributed Denial of Service (DDoS) na Pag-atake,การโจมตีแบบปฏิเสธการให้บริการแบบกระจาย (DDoS) ,Dağıtık Hizmet Reddi (DDoS) Saldırısı,Tấn công từ chối dịch vụ phân tán (DDoS),الهجمات الموزعة لحجب الخدمة (DDoS),分散式阻斷服務攻擊,DDOS-aanval (distributed denial of service),Eπίθεση άρνησης εξυπηρέτησης (DDoS),डिस्ट्रीब्यूटेड डिनायल ऑफ सर्विस (DDoS) अटैक,elosztott szolgáltatásmegtagadási (DDoS) támadás,分散型サービス拒否 (DDoS) 攻撃,Atak DDoS (Distributed Denial of Service),Розподілена атака типу «відмова в обслуговуванні» (DDoS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
